dcls_month,fin_co_no,fin_prdt_cd,intr_rate_type,intr_rate_type_nm,save_trm,intr_rate,intr_rate2
202310,0010001,WR0001B,S,단리,6,4.02,4.02
202310,0010001,WR0001B,S,단리,12,4.05,4.05
202310,0010001,WR0001B,S,단리,24,3.43,3.43
202310,0010001,WR0001B,S,단리,36,3.43,3.43
202310,0010002,00320342,S,단리,6,4.0,4.2
202310,0010002,00320342,S,단리,12,4.05,4.35
202310,0010016,10511008000996000,S,단리,6,2.86,3.51
202310,0010016,10511008000996000,S,단리,12,3.6,4.25
202310,0010016,10511008000996000,S,단리,24,3.62,4.27
202310,0010016,10511008000996000,S,단리,36,3.64,4.29
202310,0010016,10511008001004000,S,단리,6,2.42,2.87
202310,0010016,10511008001004000,S,단리,12,3.16,3.61
202310,0010016,10511008001004000,S,단리,24,3.18,3.63
202310,0010016,10511008001004000,S,단리,36,3.2,3.65
202310,0010016,10511008001166004,S,단리,12,3.8,4.25
202310,0010016,10511008001278000,S,단리,6,3.8,4.05
202310,0010016,10511008001278000,S,단리,12,3.95,4.2
202310,0010016,10511008001278000,S,단리,24,3.2,3.45
202310,0010016,10511008001278000,S,단리,36,3.2,3.45
202310,0010017,01030500510002,S,단리,6,2.55,3.65
202310,0010017,01030500510002,S,단리,12,2.75,3.65
202310,0010017,01030500510002,S,단리,24,2.8,2.8
202310,0010017,01030500510002,S,단리,36,2.85,2.85
202310,0010017,01030500560002,S,단리,6,3.6,4.0
202310,0010017,01030500560002,S,단리,12,3.6,4.0
202310,0010017,01030500560002,S,단리,24,3.25,3.65
202310,0010017,01030500560002,S,단리,36,2.95,3.35
202310,0010017,01030500600002,S,단리,6,3.6,4.0
202310,0010017,01030500600002,S,단리,12,3.6,4.0
202310,0010019,TD11300027000,M,복리,12,3.78,3.98
202310,0010019,TD11300027000,M,복리,24,3.95,4.15
202310,0010019,TD11300027000,M,복리,36,4.02,4.22
202310,0010019,TD11300031000,S,단리,6,3.65,3.75
202310,0010019,TD11300031000,S,단리,12,3.68,3.88
202310,0010019,TD11300031000,S,단리,24,3.85,4.05
202310,0010019,TD11300031000,S,단리,36,3.92,4.12
202310,0010019,TD11300035000,S,단리,12,3.58,4.18
202310,0010019,TD11300036000,S,단리,6,3.5,3.5
202310,0010019,TD11300036000,S,단리,12,3.6,3.6
202310,0010020,200000301,S,단리,6,2.85,2.95
202310,0010020,200000301,S,단리,12,3.05,3.15
202310,0010020,200000301,S,단리,24,3.15,3.25
202310,0010020,200000301,S,단리,36,3.25,3.35
202310,0010020,200000303,S,단리,6,3.0,3.9
202310,0010020,200000303,S,단리,12,3.1,4.1
202310,0010020,200000303,S,단리,24,3.0,3.5
202310,0010020,200000303,S,단리,36,3.0,3.5
202310,0010022,10-01-20-024-0046-0000,S,단리,6,3.9,3.9
202310,0010022,10-01-20-024-0046-0000,S,단리,12,4.1,4.1
202310,0010022,10-01-20-024-0059-0000,S,단리,12,4.07,4.37
202310,0010022,10-01-20-024-0059-0000,S,단리,24,,4.27
202310,0010022,10-01-20-024-0059-0000,S,단리,36,,4.37
202310,0010024,21001115,S,단리,6,2.9,3.4
202310,0010024,21001115,S,단리,12,3.25,3.75
202310,0010024,21001115,S,단리,24,3.05,3.55
202310,0010024,21001203,S,단리,6,3.15,3.45
202310,0010024,21001203,S,단리,12,3.5,3.8
202310,0010024,21001203,S,단리,24,3.55,3.85
202310,0010026,01211310121,S,단리,12,3.45,3.65
202310,0010026,01211310121,S,단리,24,3.5,3.7
202310,0010026,01211310121,S,단리,36,3.6,3.8
202310,0010026,01211310127,S,단리,6,3.1,3.4
202310,0010026,01211310127,S,단리,12,3.25,3.55
202310,0010026,01211310130,S,단리,6,3.88,3.88
202310,0010026,01211310130,S,단리,12,3.92,3.92
202310,0010026,01211310130,S,단리,24,3.92,3.92
202310,0010026,01211310130,S,단리,36,3.92,3.92
202310,0010030,05100,S,단리,6,2.7,2.7
202310,0010030,05100,S,단리,12,2.7,2.7
202310,0010030,05100,S,단리,24,2.7,2.7
202310,0010030,05100,S,단리,36,2.7,2.7
202310,0010030,06492,S,단리,6,3.7,3.7
202310,0010030,06492,S,단리,12,3.9,3.9
202310,0010030,06492,S,단리,24,3.3,3.3
202310,0010030,06492,S,단리,36,3.3,3.3
202310,0010927,010300100335,S,단리,6,2.3,4.0
202310,0010927,010300100335,S,단리,12,2.6,3.95
202310,0010927,010300100335,S,단리,24,2.7,3.1
202310,0010927,010300100335,S,단리,36,2.8,3.02
202310,0011625,200-0135-12,S,단리,6,2.75,4.05
202310,0011625,200-0135-12,S,단리,12,2.9,4.05
202310,0011625,200-0135-12,S,단리,24,2.95,3.45
202310,0011625,200-0135-12,S,단리,36,3.0,3.45
202310,0013175,10-003-1225-0001,S,단리,6,3.95,4.05
202310,0013175,10-003-1225-0001,S,단리,12,3.85,3.95
202310,0013175,10-003-1381-0001,S,단리,12,3.1,3.5
202310,0013175,10-003-1381-0001,S,단리,24,3.15,3.55
202310,0013175,10-003-1381-0001,S,단리,36,3.4,3.8
202310,0013175,10-003-1384-0001,S,단리,6,4.05,4.05
202310,0013175,10-003-1384-0001,S,단리,12,3.95,4.05
202310,0013175,10-003-1384-0001,S,단리,24,3.3,3.3
202310,0013175,10-003-1384-0001,S,단리,36,3.4,3.4
202310,0013175,10-003-1387-0001,S,단리,12,3.1,3.8
202310,0013909,4,S,단리,6,2.3,4.05
202310,0013909,4,S,단리,12,2.6,4.05
202310,0013909,4,S,단리,24,2.7,3.25
202310,0013909,4,S,단리,36,2.8,3.25
202310,0014674,01013000110000000001,S,단리,6,4.0,4.0
202310,0014674,01013000110000000001,S,단리,12,4.0,4.0
202310,0014674,01013000110000000001,S,단리,24,3.4,3.4
202310,0014674,01013000110000000001,S,단리,36,3.4,3.4
202310,0014807,10120110400011,S,단리,12,3.0,3.4
202310,0014807,10120114300011,S,단리,6,3.65,4.0
202310,0014807,10120114300011,S,단리,12,3.75,4.1
202310,0014807,10120114700011,S,단리,6,4.2,4.2
202310,0014807,10120114700011,S,단리,12,4.3,4.3
202310,0014807,10120116100011,S,단리,12,2.97,4.02
202310,0015130,10-01-20-388-0002,S,단리,6,3.9,3.9
202310,0015130,10-01-20-388-0002,S,단리,12,4.0,4.0
202310,0015130,10-01-20-388-0002,S,단리,24,4.0,4.0
202310,0015130,10-01-20-388-0002,S,단리,36,4.0,4.0
202310,0017801,1001202000002,S,단리,6,3.5,3.5
