dcls_month,fin_co_no,fin_prdt_cd,intr_rate_type,intr_rate_type_nm,rsrv_type,rsrv_type_nm,save_trm,intr_rate,intr_rate2
202310,0010001,WR0001F,S,단리,S,정액적립식,12,2.75,4.65
202310,0010001,WR0001F,S,단리,S,정액적립식,24,2.8,4.7
202310,0010001,WR0001F,S,단리,S,정액적립식,36,2.85,4.75
202310,0010001,WR0001F,S,단리,F,자유적립식,12,2.55,4.45
202310,0010001,WR0001F,S,단리,F,자유적립식,24,2.6,4.5
202310,0010001,WR0001F,S,단리,F,자유적립식,36,2.65,4.55
202310,0010001,WR0001L,S,단리,S,정액적립식,12,4.0,4.2
202310,0010001,WR0001L,S,단리,F,자유적립식,12,4.0,4.2
202310,0010002,00266451,S,단리,F,자유적립식,36,3.45,3.45
202310,0010002,00266451,S,단리,F,자유적립식,24,3.4,3.4
202310,0010002,00266451,S,단리,F,자유적립식,12,3.35,3.35
202310,0010002,00266451,S,단리,F,자유적립식,6,3.1,3.1
202310,0010002,00266451,S,단리,S,정액적립식,36,3.6,3.6
202310,0010002,00266451,S,단리,S,정액적립식,24,3.55,3.55
202310,0010002,00266451,S,단리,S,정액적립식,12,3.5,3.5
202310,0010002,00266451,S,단리,S,정액적립식,6,3.2,3.2
202310,0010016,10521001000846001,S,단리,S,정액적립식,12,3.46,4.01
202310,0010016,10521001000846001,S,단리,S,정액적립식,24,3.48,4.03
202310,0010016,10521001000846001,S,단리,S,정액적립식,36,3.5,4.05
202310,0010016,10521001001177000,S,단리,S,정액적립식,36,3.5,4.4
202310,0010016,10521001001177000,S,단리,S,정액적립식,24,3.48,4.38
202310,0010016,10521001001177000,S,단리,S,정액적립식,12,3.46,4.36
202310,0010016,10527001000925000,S,단리,F,자유적립식,12,3.66,4.21
202310,0010016,10527001001272000,S,단리,F,자유적립식,6,3.05,3.85
202310,0010016,10527001001272000,S,단리,F,자유적립식,12,3.8,4.6
202310,0010016,10527001001278000,S,단리,F,자유적립식,6,2.75,3.2
202310,0010016,10527001001278000,S,단리,F,자유적립식,12,3.45,3.9
202310,0010016,10527001001278000,S,단리,F,자유적립식,24,3.5,3.95
202310,0010016,10527001001278000,S,단리,F,자유적립식,36,3.55,4.0
202310,0010017,01020400380001,S,단리,F,자유적립식,24,3.75,5.65
202310,0010017,01020400380001,S,단리,F,자유적립식,36,3.85,5.75
202310,0010017,01020400490001,S,단리,F,자유적립식,12,3.5,4.4
202310,0010017,01020400490001,S,단리,F,자유적립식,6,3.0,3.55
202310,0010017,01020400490002,S,단리,S,정액적립식,6,3.1,3.65
202310,0010017,01020400490002,S,단리,S,정액적립식,12,3.6,4.5
202310,0010017,01020400510001,S,단리,F,자유적립식,6,3.05,3.45
202310,0010017,01020400510001,S,단리,F,자유적립식,12,3.35,3.75
202310,0010017,01020400510001,S,단리,F,자유적립식,24,3.45,3.85
202310,0010017,01020400510001,S,단리,F,자유적립식,36,3.55,3.95
202310,0010017,01020400530001,S,단리,F,자유적립식,6,3.1,3.3
202310,0010017,01020400530001,S,단리,F,자유적립식,12,3.55,3.75
202310,0010017,01020400530001,S,단리,F,자유적립식,24,3.75,3.95
202310,0010017,01020400530001,S,단리,F,자유적립식,36,3.8,4.0
202310,0010017,01020400610001,S,단리,F,자유적립식,36,2.5,9.0
202310,0010017,01020400610001,S,단리,F,자유적립식,24,2.45,8.95
202310,0010017,01020400610001,S,단리,F,자유적립식,12,2.4,8.9
202310,0010017,01020400620001,S,단리,F,자유적립식,6,2.5,5.5
202310,0010019,TD11330028000,S,단리,S,정액적립식,12,3.5,3.9
202310,0010019,TD11330028000,S,단리,S,정액적립식,24,3.6,4.0
202310,0010019,TD11330028000,S,단리,F,자유적립식,12,3.3,3.7
202310,0010019,TD11330028000,S,단리,F,자유적립식,24,3.4,3.8
202310,0010019,TD11330029000,S,단리,F,자유적립식,36,3.3,4.5
202310,0010019,TD11330029000,S,단리,F,자유적립식,24,3.2,4.4
202310,0010019,TD11330029000,S,단리,F,자유적립식,12,3.1,4.3
202310,0010019,TD11330029000,S,단리,F,자유적립식,6,2.9,4.1
202310,0010019,TD11330029000,S,단리,S,정액적립식,36,3.5,4.7
202310,0010019,TD11330029000,S,단리,S,정액적립식,24,3.4,4.6
202310,0010019,TD11330029000,S,단리,S,정액적립식,12,3.3,4.5
202310,0010019,TD11330029000,S,단리,S,정액적립식,6,3.1,4.3
202310,0010019,TD11330030000,S,단리,S,정액적립식,12,3.2,5.1
202310,0010019,TD11330030000,S,단리,F,자유적립식,12,3.0,4.9
202310,0010019,TD11330031000,S,단리,S,정액적립식,12,3.6,4.1
202310,0010019,TD11330031000,S,단리,F,자유적립식,12,3.3,3.8
202310,0010019,TD11330032000,S,단리,S,정액적립식,12,3.2,6.0
202310,0010019,TD11330032000,S,단리,F,자유적립식,12,3.0,5.8
202310,0010020,220002101,S,단리,F,자유적립식,6,3.15,5.25
202310,0010020,220002101,S,단리,F,자유적립식,12,3.45,5.55
202310,0010020,220002301,S,단리,F,자유적립식,36,4.1,5.6
202310,0010020,220002301,S,단리,F,자유적립식,24,3.9,5.4
202310,0010020,220002301,S,단리,F,자유적립식,12,3.7,5.2
202310,0010020,220002301,S,단리,S,정액적립식,36,4.3,5.8
202310,0010020,220002301,S,단리,S,정액적립식,24,4.1,5.6
202310,0010020,220002301,S,단리,S,정액적립식,12,3.9,5.4
202310,0010020,220002501,S,단리,F,자유적립식,12,3.8,5.4
202310,0010020,220002501,S,단리,F,자유적립식,24,4.0,5.6
202310,0010020,220002701,S,단리,F,자유적립식,6,2.3,5.0
202310,0010020,220002701,S,단리,F,자유적립식,12,2.5,5.2
202310,0010022,10-01-30-031-0018-0000,S,단리,F,자유적립식,12,3.9,4.0
202310,0010022,10-01-30-031-0018-0000,S,단리,F,자유적립식,24,3.95,4.05
202310,0010022,10-01-30-031-0018-0000,S,단리,F,자유적립식,36,4.0,4.1
202310,0010022,10-01-30-031-0037-0000,S,단리,S,정액적립식,12,1.0,5.5
202310,0010024,21000111,S,단리,S,정액적립식,12,3.6,4.6
202310,0010024,21000111,S,단리,S,정액적립식,24,3.7,4.7
202310,0010024,21000111,S,단리,S,정액적립식,36,3.8,4.8
202310,0010024,21001116,S,단리,F,자유적립식,6,3.45,4.15
202310,0010024,21001116,S,단리,F,자유적립식,12,3.75,4.45
202310,0010024,21001116,S,단리,F,자유적립식,24,3.85,4.55
202310,0010024,21001199,S,단리,S,정액적립식,36,,6.75
202310,0010024,21001199,S,단리,S,정액적립식,24,,6.65
202310,0010024,21001199,S,단리,S,정액적립식,12,,6.55
202310,0010024,21001199,S,단리,S,정액적립식,6,,6.25
202310,0010024,21001199,S,단리,F,자유적립식,36,3.25,6.75
202310,0010024,21001199,S,단리,F,자유적립식,24,3.15,6.65
202310,0010024,21001199,S,단리,F,자유적립식,12,3.05,6.55
202310,0010024,21001199,S,단리,F,자유적립식,6,2.75,6.25
202310,0010024,21001236,S,단리,S,정액적립식,12,3.55,5.15
202310,0010024,21001236,S,단리,S,정액적립식,24,3.6,5.2
202310,0010024,21001236,S,단리,S,정액적립식,36,3.65,5.25
202310,0010024,21001259,S,단리,F,자유적립식,6,3.45,5.7
202310,0010026,01211210110,S,단리,F,자유적립식,12,3.0,5.8
202310,0010026,01211210113,S,단리,F,자유적립식,6,3.65,5.15
202310,0010026,01211210113,S,단리,F,자유적립식,12,3.85,5.35
202310,0010026,01211210121,S,단리,F,자유적립식,12,3.0,7.0
202310,0010026,01211210122,S,단리,F,자유적립식,12,3.5,5.7
202310,0010030,03010,S,단리,F,자유적립식,12,3.74,3.84
202310,0010030,03010,S,단리,F,자유적립식,24,3.84,3.94
202310,0010030,03010,S,단리,F,자유적립식,36,3.94,4.04
202310,0010030,03100,S,단리,S,정액적립식,6,2.5,2.5
202310,0010030,03100,S,단리,S,정액적립식,12,2.6,2.6
202310,0010030,03100,S,단리,S,정액적립식,24,2.7,2.7
202310,0010030,03100,S,단리,S,정액적립식,36,2.7,2.7
202310,0010030,03202,M,복리,F,자유적립식,12,3.82,3.92
202310,0010030,03202,M,복리,F,자유적립식,24,3.88,3.98
202310,0010030,03202,M,복리,F,자유적립식,36,4.06,4.16
202310,0010927,010200100051,S,단리,S,정액적립식,36,3.05,4.25
202310,0010927,010200100051,S,단리,S,정액적립식,24,2.95,3.95
202310,0010927,010200100051,S,단리,S,정액적립식,12,2.75,3.65
202310,0010927,010200100092,S,단리,F,자유적립식,12,3.0,4.5
202310,0010927,010200100092,S,단리,F,자유적립식,24,3.3,4.8
202310,0010927,010200100092,S,단리,F,자유적립식,36,3.5,5.0
202310,0010927,010200100104,S,단리,F,자유적립식,6,2.0,6.0
202310,0011625,230-0119-85,S,단리,F,자유적립식,12,3.0,4.3
202310,0011625,230-0119-85,S,단리,F,자유적립식,24,3.1,4.4
202310,0011625,230-0119-85,S,단리,F,자유적립식,36,3.2,4.5
202310,0013175,10-047-1360-0002,S,단리,F,자유적립식,6,3.0,4.7
202310,0013175,10-047-1365-0001,M,복리,F,자유적립식,24,3.15,6.65
202310,0013175,10-047-1365-0001,M,복리,F,자유적립식,12,3.1,6.6
202310,0013175,10-047-1365-0001,M,복리,F,자유적립식,6,3.0,6.5
202310,0013175,10-047-1381-0001,S,단리,F,자유적립식,12,3.1,4.1
202310,0013175,10-047-1381-0001,S,단리,F,자유적립식,24,3.15,4.15
202310,0013175,10-047-1381-0001,S,단리,F,자유적립식,36,3.4,4.4
202310,0013175,10-047-1387-0001,S,단리,F,자유적립식,12,3.4,4.3
202310,0013175,10-047-1387-0001,S,단리,F,자유적립식,24,3.45,4.35
202310,0013175,10-047-1387-0001,S,단리,F,자유적립식,36,3.7,4.6
202310,0013175,10-059-1264-0001,M,복리,F,자유적립식,12,3.7,4.5
202310,0013175,10-059-1264-0001,M,복리,F,자유적립식,24,3.32,4.12
202310,0013175,10-059-1264-0001,M,복리,F,자유적립식,36,3.42,4.22
202310,0013909,52,M,복리,F,자유적립식,36,3.75,4.75
202310,0013909,52,M,복리,F,자유적립식,24,3.65,4.65
202310,0013909,52,M,복리,F,자유적립식,12,3.55,4.55
202310,0013909,53,S,단리,S,정액적립식,6,3.2,3.7
202310,0013909,53,S,단리,S,정액적립식,12,3.3,3.8
202310,0013909,53,S,단리,S,정액적립식,24,3.45,3.95
202310,0013909,53,S,단리,S,정액적립식,36,3.55,4.05
202310,0013909,53,S,단리,F,자유적립식,6,3.15,3.65
202310,0013909,53,S,단리,F,자유적립식,12,3.25,3.75
202310,0013909,53,S,단리,F,자유적립식,24,3.35,3.85
202310,0013909,53,S,단리,F,자유적립식,36,3.45,3.95
202310,0014674,01012000200000000003,S,단리,F,자유적립식,36,4.4,4.4
202310,0014674,01012000200000000003,S,단리,F,자유적립식,24,4.35,4.35
202310,0014674,01012000200000000003,S,단리,F,자유적립식,12,4.3,4.3
202310,0014674,01012000200000000003,S,단리,F,자유적립식,6,3.6,3.6
202310,0014674,01012000210000000000,S,단리,F,자유적립식,6,3.5,4.1
202310,0014674,01012000210000000000,S,단리,F,자유적립식,12,4.2,4.8
202310,0014674,01012000210000000000,S,단리,F,자유적립식,24,4.25,4.85
202310,0014674,01012000210000000000,S,단리,F,자유적립식,36,4.3,4.9
202310,0014807,10140110400011,S,단리,S,정액적립식,12,2.6,3.8
202310,0014807,10140110400011,S,단리,S,정액적립식,24,2.7,3.9
202310,0014807,10140110400011,S,단리,S,정액적립식,36,2.8,4.0
202310,0014807,10140114300011,S,단리,S,정액적립식,36,3.3,3.8
202310,0014807,10140114300011,S,단리,S,정액적립식,24,3.0,3.5
202310,0014807,10140114300011,S,단리,S,정액적립식,12,3.5,4.0
202310,0014807,10140114700031,S,단리,S,정액적립식,6,2.8,3.7
202310,0014807,10140114700031,S,단리,S,정액적립식,12,2.9,3.8
202310,0014807,10141109800021,M,복리,F,자유적립식,12,2.2,2.9
202310,0014807,10141109800021,M,복리,F,자유적립식,24,1.8,2.5
202310,0014807,10141109800021,M,복리,F,자유적립식,36,1.9,2.6
202310,0014807,10141114300011,S,단리,F,자유적립식,12,3.15,3.65
202310,0014807,10141114300011,S,단리,F,자유적립식,24,2.35,2.85
202310,0014807,10141114300011,S,단리,F,자유적립식,36,2.35,2.85
202310,0014807,10141114700031,S,단리,F,자유적립식,6,2.8,3.7
202310,0014807,10141114700031,S,단리,F,자유적립식,12,2.9,3.8
202310,0014807,10141116600001,S,단리,F,자유적립식,12,3.0,7.0
202310,0015130,10-01-30-355-0002,S,단리,F,자유적립식,6,3.7,3.9
202310,0015130,10-01-30-355-0002,S,단리,F,자유적립식,12,4.0,4.2
202310,0015130,10-01-30-355-0002,S,단리,F,자유적립식,24,4.0,4.2
202310,0015130,10-01-30-355-0002,S,단리,F,자유적립식,36,4.0,4.2
202310,0015130,10-01-30-355-0005,S,단리,F,자유적립식,6,3.0,6.0
202310,0017801,1001303001001,S,단리,F,자유적립식,6,2.0,4.5
202310,0017801,1001303001003,S,단리,F,자유적립식,6,2.0,5.0
202310,0017801,1001303001004,S,단리,F,자유적립식,6,2.0,4.0
202310,0017801,1001303001004,S,단리,F,자유적립식,12,3.0,5.0
202310,0017801,1001303001004,S,단리,F,자유적립식,24,3.0,5.0
202310,0017801,1001303001004,S,단리,F,자유적립식,36,3.0,5.0
202310,0017801,1001303001005,S,단리,F,자유적립식,12,3.0,5.5
